ERF

South
type	statistic	number	int(number)	total
0	144208	10.4016420726	10	144208
1	171084	8.7676229221	9	153976
2	164763	9.103985725	9	148287
3	95320	15.7364666387	16	152512
4	119727	12.5285023428	13	155645
5	86326	17.3759933276	17	146754

North
type	statistic	number	int(number)	total
0	
1	168239	8.9158875172	9	151415
2	162433	9.2345767178	9	146190
3	
4	
5	89883	16.6883615367	17	152801




RF


Gamma					Proton		
				North			
	Statistic *10	statistic to 150000				Statistic *10	statistic to 150000
0	19913	75			0	2661	564
1	28205	53			1	8079	186
2	27120	55			2	8081	186
3	13965	107			3	5644	266
4	18378	82			4	6412	234
5	14462	104			5	6341	237
							
				South			
0	19123	78			0	2563	585
1	28025	54			1	8121	185
2	27048	55			2	8029	187
3	13773	109			3	5951	252
4	17948	84			4	6686	224
5	14127	106			5	6592	228

